"BMQDV href","NhWcC src","biGQs","biGQs 2","evwcZ","BMQDV href 3","biGQs 3","AVYYu","AVYYu 2","AVYYu 3","AVYYu 4","BMQDV href 4","TPuys src"
"https://www.tripadvisor.in/Hotel_Review-g297689-d455497-Reviews-Jaypee_Residency_Manor-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/20/bc/25/facade.jpg?w=300&h=300&s=1","1. Jaypee Residency Manor","4.7","4.7 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d455497-Reviews-Jaypee_Residency_Manor-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(3,137 reviews)","Romantic","Park View","Classic","Breakfast included","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d735214-Reviews-Hotel_Vishnu_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/8a/c2/7d/reception-with-all-embracing.jpg?w=300&h=300&s=1","2. Hotel Vishnu Palace","4.5","4.5 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d735214-Reviews-Hotel_Vishnu_Palace-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(3,353 reviews)","Family","Modern","Business","Breakfast included","https://www.tripadvisor.in/Hotel_Review-g297689-d735214-Reviews-Hotel_Vishnu_Palace-Mussoorie_Dehradun_District_Uttarakhand.html","https://static.tacdn.com/img2/brand_refresh_2025/travelers_choice/badges/2025/2025_TC_Badge_Large.svg"
"https://www.tripadvisor.in/Hotel_Review-g297689-d10791160-Reviews-Country_Inn_Premier_Pacific_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/e9/00/7f/facade-evening.jpg?w=300&h=300&s=1","3. Country Inn Premier Pacific Resort, Mussoorie","4.4","4.4 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d10791160-Reviews-Country_Inn_Premier_Pacific_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(297 reviews)","Romantic","Trendy","Business","","https://www.tripadvisor.in/Hotel_Review-g297689-d10791160-Reviews-Country_Inn_Premier_Pacific_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://static.tacdn.com/img2/brand_refresh_2025/travelers_choice/badges/2025/2025_TC_Badge_Large.svg"
"https://www.tripadvisor.in/Hotel_Review-g297689-d23661513-Reviews-Pride_Ashiyana_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/77/35/84/caption.jpg?w=300&h=300&s=1","4. Pride Ashiyana Resort Mussoorie","4.9","4.9 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d23661513-Reviews-Pride_Ashiyana_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(795 reviews)","Romantic","Family","Quaint","Breakfast included","https://www.tripadvisor.in/Hotel_Review-g297689-d23661513-Reviews-Pride_Ashiyana_Resort_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://static.tacdn.com/img2/brand_refresh_2025/travelers_choice/badges/2025/2025_TC_Badge_Large.svg"
"https://www.tripadvisor.in/Hotel_Review-g297689-d627080-Reviews-Ramada_by_Wyndham_Mussoorie_Mall_Road-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/9f/4c/89/the-sylverton-mussoorie.jpg?w=300&h=300&s=1","5. Ramada by Wyndham,Mussoorie Mall Road","4.9","4.9 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d627080-Reviews-Ramada_by_Wyndham_Mussoorie_Mall_Road-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(1,940 reviews)","Romantic","Park View","Classic","Breakfast included","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d27410210-Reviews-Hotel_Mussoorie_Heights-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2f/c3/f7/caption.jpg?w=300&h=300&s=1","6. Hotel Mussoorie Heights","5.0","5 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d27410210-Reviews-Hotel_Mussoorie_Heights-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(3 reviews)","Quaint","Luxury","","","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d1149675-Reviews-Sterling_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/7c/47/15/discover-sterling-mussoorie.jpg?w=300&h=300&s=1","7. Sterling Mussoorie","4.7","4.7 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d1149675-Reviews-Sterling_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(3,905 reviews)","Romantic","Trendy","Business","","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d28043831-Reviews-Sangam_By_Stotrak_Jhula_Ghar_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/78/24/db/caption.jpg?w=300&h=300&s=1","8. Sangam By Stotrak, Jhula Ghar Mussoorie","5.0","5 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d28043831-Reviews-Sangam_By_Stotrak_Jhula_Ghar_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(73 reviews)","Romantic","Budget","Family","","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d729978-Reviews-Tulip_Inn_Green_Castle_Hotel_Spa-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/d7/53/8b/caption.jpg?w=300&h=300&s=1","9. Tulip Inn Green Castle - Hotel & Spa","3.9","3.9 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d729978-Reviews-Tulip_Inn_Green_Castle_Hotel_Spa-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(331 reviews)","Romantic","Modern","Family","","",""
"https://www.tripadvisor.in/Hotel_Review-g297689-d10465707-Reviews-Mosaic_Hotel_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/5b/f4/50/open-air-grill-restaurant.jpg?w=300&h=300&s=1","10. Mosaic Hotel Mussoorie","4.8","4.8 of 5 bubbles","https://www.tripadvisor.in/Hotel_Review-g297689-d10465707-Reviews-Mosaic_Hotel_Mussoorie-Mussoorie_Dehradun_District_Uttarakhand.html#REVIEWS","(1,619 reviews)","Romantic","Boutique","Great View","Breakfast included","",""
